name,artist,release_year,id,genre
Houdini,Eminem,2024,2HYFX63wP3otVIvopRS99Z,gaming
Miles On It,"Marshmello, Kane Brown",2024,4pkb8SbRGeHAvdb87v9rpf,gaming
No Son Doritos,"Clave Especial, Luis R Conriquez",2024,2ss1LK5Kfnjo5EUaCbsgZM,latin
redrum,21 Savage,2024,52eIcoLUM25zbQupAZYoFh,gaming
Bling-Bang-Bang-Born,Creepy Nuts,2024,0kdqcbwei4MDWFEX5f33yG,j-pop
IA,"Clarent, Mora",2024,7lcbpfihslisNObKdHjyLo,latin
KINTSUGI,HUMBE,2024,1qbql17v0Hazo94o5RUyWQ,latin
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",2024,1BJJbSX6muJVF2AK7uH1x4,"electronic, gaming, pop"
SLAY!,Eternxlkz,2024,67smGwuPEtA6GAfeweAVNO,gaming
misses,Dominic Fike,2024,6WTFHKrnZpwEBLRS10Ylqs,rock
Too Sweet,Hozier,2024,4IadxL6BUymXlh8RCJJu7T,"gaming, pop, rock"
2 hands,Tate McRae,2024,1f18HzFpegqvH4ibGJyeMJ,pop
Circadian Rhythm,Drake,2024,1eroCliWpJrEu1V7VSObcO,hip-hop
En Otra Vida,"Yami Safdie, Lasso",2024,0EhmTBq33eARyOz3SIi4P2,latin
Frente al Mar,Beéle,2024,60u6hcpH5Qm1M3xESdNBrB,latin
I Only Smoke When I Drink,nimino,2024,39glDGcpBhLVMSsQhvtqHR,electronic
Morena Canela,Chino Pacas,2024,0NsGFMIo2aNbAkJu48ndaf,latin
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",2024,5bi0gh89wRuH2OgjdAKFsb,latin
Somedays,"Sonny Fodera, Jazzy, D.O.D",2024,3wo3d0I5H8KjkwGvnz8WbB,gaming
Two Faced,Linkin Park,2024,6i5qhmmF9UNUBRyrPSGn4m,rock
i am not who i was,Chance Peña,2024,70eyG7pqKozUvKPKXLXmpI,folk
DEVIL IS A LIE,Tommy Richman,2024,6jlG8gBPNAgBgoivw2Ig09,gaming
Ela Joga na Hora,"Mc Pogba, DJ Guih Da ZO",2024,6hZGsChumRhWG24OEh698c,brazilian
Feel It - From The Original Series “Invincible”,d4vd,2024,3SAga35lAPYdjj3qyfEsCF,"gaming, rock"
Heavy Is the Crown,Linkin Park,2024,2HBBM75Xv3o2Mqdyh1NcM0,pop
How Sweet,NewJeans,2024,38tXZcL1gZRfbqfOG0VMTH,k-pop
Khé?,"Rauw Alejandro, Romeo Santos",2024,1YYfyJ2yCvGFCxwjsIqEK9,"latin, pop"
No Face,Drake,2024,1560osUcXrnov6yuOjXvc1,hip-hop
PUSH 2 START,Tyla,2024,1Cbl3Yq8rHo7hhDQmLQagU,afrobeats
Running Wild,Jin,2024,4p7DTkyrKqT98xlIwYYfXz,pop
SHEESH,BABYMONSTER,2024,1njlnn8ZKHI77Pe9szIONR,k-pop
SPOT!,"ZICO, JENNIE",2024,1SS0WlKhJewviwEDZ6dWj0,k-pop
THE BOX MEDLEY FUNK 2,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",2024,7IFsTX5H1sWcEl8joV0IdD,brazilian
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",2024,5xeSd4HgzrYpNLEf3LfYLK,hip-hop
Whatever She Wants,Bryson Tiller,2024,57wp7VFnV8X0pSVnYArGeJ,gaming
euphoria,Kendrick Lamar,2024,77DRzu7ERs0TX3roZcre7Q,gaming
ADIVINO,"Myke Towers, Bad Bunny",2024,0LZy30mVmxqUpdQmaXKXBd,latin
BACKBONE,"Chase & Status, Stormzy",2024,3HrHhTWonBqF4mDasi8xvC,gaming
FUNKED UP - SLOWED,"xxanteria, isq",2024,4VL5XwfATZuAVTW471Wpro,gaming
Forever Young,"David Guetta, Alphaville, Ava Max",2024,3bg2qahpZmsg5wV2EMPXIk,electronic
It's Not Right But It's Okay,Mr. Belt & Wezol,2024,5OFVzqSeFxGpvDGyHvVeLj,electronic
LIL DEMON,Future,2024,3aCPResPDNae3pXTocGpYe,hip-hop
MTG QUEM NÃO QUER SOU EU,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",2024,6RjSXi9cPGroetXeNsWFGL,brazilian
NO PIERDO LA VIDA,"Calle 24, Chuyin",2024,44zZM2dn9AcOUt5XKUMNJ3,latin
Never Going Home Tonight (feat. Madison Love),"David Guetta, Alesso, Madison Love",2024,7K1BLb6MpvKuGEPpHw35mO,electronic
Or What,"NLE Choppa, 41, Kyle Richh",2024,3lUYO6zvXI88sNDpyKvIJ2,hip-hop
Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",2024,2nYeyMeqYDiFSYYtl2BWD6,"afrobeats, ambient, arabic"
Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",2024,0agQ9vIV7NP4dntGKLcCXO,gaming
noviogangsta <3,Emilia,2024,7yrTny7FLWLbfIzsxoicWj,latin
ライラック,Mrs. GREEN APPLE,2024,78W4mTLIh4qoLu92W4IQhO,j-pop
25,Rod Wave,2024,0U60hgxzGit7juEuHul2y3,hip-hop
APAGA EL CEL,"FloyyMenor, Lewis Somes",2024,0ZS96pPRLyGUViVi5PWCAR,latin
Awuke,"Davido, YG Marley",2024,6e0YUaVAfDxUabmybOjguy,afrobeats
CUTE DEPRESSED,Dyan Dxddy,2024,06PqeO7IInus2yvzsZwZhf,gaming
Chill Bae,Lil Uzi Vert,2024,4ppKM7xnkSAwSyKqD4QTY4,hip-hop
DURO,Quevedo,2024,1kyLInQ2qgYbK4wZxllfV2,latin
HIM ALL ALONG,Gunna,2024,2EKL77lwxvo615Ga7VjEUl,hip-hop
Harpy Hare,Yaelokre,2024,35I2E525yJpUQ5ZJgfxizT,folk
Imagínate,"Danny Ocean, Kapo",2024,4zbEItKoaRId1vRZkoO0Uh,latin
It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",2024,1qIwin7JMVuX70qN6wD8ww,hip-hop
TU TA RICA,"FloyyMenor, Lewis Somes",2024,27bcRgu0wnDteieWlLCxc8,latin
Whatever,"Kygo, Ava Max",2024,0LMwmV37RCmBO2so0szAFs,"electronic, gaming"
BBY BOO - REMIX,"iZaak, JHAYCO, Anuel AA",2024,43PiEypaceH339CSNiggyj,latin
Cholo 7,"Fuerza Regida, Luis R Conriquez",2024,06ONHS2cu9I7fvzTz3NQvq,latin
EN MI MUNDO,"Jasiel Nuñez, Peso Pluma",2024,0lQogzZgV4XwuUTasz3nPL,latin
Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",2024,4Ndjd6DhKIC5IPoBIrMQuX,latin
Geçiyor Zaman,Semicenk,2024,3ma4Ef3Bnl3UBOV4ShiMLX,turkish
Imagina esse Cenário,"Matuê, Veigh",2024,2fjqfFUq64thFsqfKN01kS,hip-hop
Kese (Dance),Wizkid,2024,27durTCg4qj3qAbKsSVNX4,"afrobeats, arabic"
LIKE THAT,BABYMONSTER,2024,7GDgpad2BQVuDUzaxHFakc,k-pop
Onlar Anlamaz Halden,Semicenk,2024,38d47UiHhyu4wdbPYz0ZUB,turkish
Winning Speech,"Karan Aujla, Mxrci",2024,3FqtduiaqnFYvBgKuc6QWQ,hip-hop
Yamore,"MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora",2024,480j122Gpi252OIfy4SNzm,electronic
Alibi (feat. Rudimental),"Ella Henderson, Rudimental",2024,5Jpz4nv8nA6FIYO5gEyQa2,electronic
Armageddon,aespa,2024,5eWcGfUCrVFMoYskyfkEPE,k-pop
Heart Of A Woman,Summer Walker,2024,2oVVaVY0LkzwAYYcyzon6Z,r&b
Imagine,Carbonne,2024,6IcsbETuviVu6UTiBTcxY4,electronic
Russian Bandana,Dhanda Nyoliwala,2024,1dFrZr9eMUsFqeag04ClqD,hip-hop
SEXO ES LA MODA,"Maria Becerra, Yandel",2024,4U80gkwi6Qk0fBRcDuzn3E,latin
SPIDER,"GIMS, DYSTINCT",2024,2fFTn0f94EopgZyfSGQuyK,hip-hop
Supernova Love,"IVE, David Guetta",2024,5sTLGx6c7YRwnrWm6O091n,electronic
TEFLON DON,Future,2024,2jnezASa7o0lP6aif6VrIf,hip-hop
TOO COOL TO BE CARELESS,PAWSA,2024,6KqM3xmPIDonsTjCSGrrr5,gaming
Tailor Swif,A$AP Rocky,2024,5xMjhZKSo8yh5r9b5vrYRr,"gaming, hip-hop"
Önümüz Yaz,Simge,2024,28Aau4tlztDlgKJQXrWhZR,turkish
1993,Matuê,2024,6QsHhB0W9GtLF3cI7mUVkQ,hip-hop
ABCD,NAYEON,2024,0V2passWyAXnON67kfAj7y,k-pop
Bandana,Shubh,2024,7KQdgW7QzNd9oPoCzjCU76,hip-hop
Both Ways,Juice WRLD,2024,2FRc9wqgIjg2E3bH13ww6U,hip-hop
Breathe,Yeat,2024,5NAOhPAZ57eFAXr3qatS6i,gaming
Brindis,"Duki, Headie One",2024,1Bb422wJR14f7sA77gGs0V,hip-hop
CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby",2024,4CNfC20TImtjdwN3dG0uCF,hip-hop
Gata Only (Remix),"FloyyMenor, Ozuna, Anitta",2024,0JGTfiC4Z41GEEpMYLbWwO,latin
Help Me,Real Boston Richey,2024,487JCvAXVblflZyDJn3fSp,hip-hop
Her,The American Dawn,2024,2vlkTkPqdATznKHu9gD2c1,rock
I CAN’T LET GO,"Lil Tecca, Don Toliver",2024,1Ftb0PK0Qqwax3gofiMd2X,hip-hop
JACKPOT,"Belinda, Kenia OS",2024,23W44WWCP8SibyP292TWo5,latin
Light Year (Practice),Lil Uzi Vert,2024,3NE6g9h77FZbQqCLzUpGRt,hip-hop
PLUTOSKI,Future,2024,2t4H61OtTYgmDe61KxkjKH,hip-hop
Siento que merezco más,LATIN MAFIA,2024,4Z6pPinNzkGtbgAlE88263,latin
née-nah,"21 Savage, Travis Scott, Metro Boomin",2024,2yUzr8Sr6ldG8vmHhZwTnz,"gaming, hip-hop"
カーテンコール,Yuuri,2024,1nysdCpKAh6yif4JkmoiNy,j-pop
A Cold Sunday,Lil Yachty,2024,1Y1jtaZOJYgXBl7lKdLc9o,hip-hop
Around The World,"Niklas Dee, René Miller",2024,47KhhDku9RLDsWIJjYaXDs,electronic
DEPORTIVO,"Blessd, Anuel AA",2024,0fKK51bU6lcCCwdNnv64t3,latin
FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",2024,3lCb7ZYE3Fvie4JOPqpXfY,hip-hop
Ferxxoko,"Joyce Santana, Feid",2024,12VjaTNEaCfDlvW1XPZTQ9,latin
